,date,ConfirmedCases,DailyCases,State_Tribe_Territory,County_Name,FIPS_State,FIPS_County,order_code,Face_Masks_Required_in_Public,Source_of_Action,URL,Citation,Population
475212,2020-06-12,8355,44.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-38.aspx,"Ill. Exec. Order No. 2020-38 (May 29, 2020)",932877
478554,2020-06-13,8389,34.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-38.aspx,"Ill. Exec. Order No. 2020-38 (May 29, 2020)",932877
481896,2020-06-14,8434,45.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-38.aspx,"Ill. Exec. Order No. 2020-38 (May 29, 2020)",932877
485238,2020-06-15,8465,31.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-38.aspx,"Ill. Exec. Order No. 2020-38 (May 29, 2020)",932877
488580,2020-06-16,8495,30.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-38.aspx,"Ill. Exec. Order No. 2020-38 (May 29, 2020)",932877
491922,2020-06-17,8546,51.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-38.aspx,"Ill. Exec. Order No. 2020-38 (May 29, 2020)",932877
495264,2020-06-18,8574,28.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-38.aspx,"Ill. Exec. Order No. 2020-38 (May 29, 2020)",932877
498606,2020-06-19,8609,35.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-38.aspx,"Ill. Exec. Order No. 2020-38 (May 29, 2020)",932877
501948,2020-06-20,8646,37.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-38.aspx,"Ill. Exec. Order No. 2020-38 (May 29, 2020)",932877
505290,2020-06-21,8682,36.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-38.aspx,"Ill. Exec. Order No. 2020-38 (May 29, 2020)",932877
